Currency,Position Long,Position Short,Position Spreading,Change Long,Change Short,Change Spreading,% Long,% Short,%Spreading,No. of Trader Long,No. of Trader Short,No. of Trader Spreading
CANADIAN DOLLAR ,"13,438","43,468","1,191","-2,824","3,922",-907,9.8,31.6,0.9,5,7,6
SWISS FRANC ,0,"27,699",232,0,"-1,711",-33,0.0,52.7,0.4,0,9,4
BRITISH POUND STERLING ,"34,380","36,658","24,929","3,668","-10,246","20,875",17.4,18.6,12.6,7,8,9
JAPANESE YEN ,"5,562","77,782",827,-996,"-6,422",132,3.7,51.3,0.5,4,10,4
EURO FX ,"29,386","469,084","7,476","-2,290","-12,824",302,4.3,67.9,1.1,12,15,12
EURO FX/BRITISH POUND XRATE ,440,"9,762",0,0,0,0,1.8,39.6,0.0,.,.,0
AUSTRALIAN DOLLAR ,"6,142","41,100","2,724",-404,"-1,346","2,724",4.3,28.5,1.9,.,8,.
RUSSIAN RUBLE ,799,"18,726",14,330,-125,14,3.1,73.5,0.1,.,4,.
MEXICAN PESO ,"3,557","60,559",597,250,496,-1,2.4,40.3,0.4,.,6,.
BRAZILIAN REAL ,"19,520",112,134,"6,953",-94,"-18,069",50.9,0.3,0.3,.,.,.
NEW ZEALAND DOLLAR ,"7,355","8,397","3,522",-20,"-1,745","3,522",16.7,19.1,8.0,6,6,4
SOUTH AFRICAN RAND ,160,0,166,0,0,166,1.1,0.0,1.2,.,0,.
DJIA Consolidated ,"12,692","8,260","1,120",702,"-1,841",60,34.6,22.5,3.1,19,12,7
DOW JONES INDUSTRIAL AVG- x $5 ,"25,383","16,520","2,240","1,404","-3,681",120,34.6,22.5,3.1,19,12,7
DOW JONES U.S. REAL ESTATE IDX ,"7,144","16,754",21,-123,0,0,23.3,54.6,0.1,7,4,.
S&P 500 Consolidated ,"80,778","91,585","25,273","-4,571","7,016","-1,581",14.0,15.9,4.4,30,40,29
S&P 500 STOCK INDEX ,"4,002","25,750",0,860,"2,426",0,11.0,70.8,0.0,4,6,0
E-MINI S&P CONSU STAPLES INDEX ,"4,727","5,856",0,.,.,.,39.3,48.6,0.0,.,9,0
E-MINI S&P ENERGY INDEX ,"11,446","4,010",23,450,-721,0,66.6,23.3,0.1,4,5,.
E-MINI S&P 500 STOCK INDEX ,"428,161","373,455","82,085","-46,036","4,072","10,973",15.8,13.8,3.0,32,38,27
E-MINI S&P HEALTH CARE INDEX ,"1,691","6,619",0,-300,379,0,17.8,69.6,0.0,4,9,0
